"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"CeeDee Lamb","DAL","6.9","89.5","0.5","0.5","3.2","0.0","0.1","12.5"
"Ja'Marr Chase","CIN","6.6","84.2","0.6","0.1","0.6","0.0","0.1","12.0"
"Justin Jefferson","MIN","6.4","89.0","0.5","0.0","0.3","0.0","0.1","12.0"
"Amon-Ra St. Brown","DET","7.0","84.9","0.5","0.1","1.2","0.0","0.1","11.4"
"Nico Collins","HOU","5.6","83.4","0.5","0.0","0.2","0.0","0.1","11.3"
"Brandon Aiyuk","SF","5.6","82.1","0.5","0.2","1.0","0.0","0.1","11.2"
"Rashee Rice","KC","6.6","75.9","0.5","0.1","0.7","0.0","0.1","10.7"
"DeVonta Smith","PHI","6.1","79.4","0.5","0.0","0.1","0.0","0.1","10.7"
"Garrett Wilson","NYJ","5.5","68.6","0.5","0.3","1.7","0.0","0.1","10.0"
"Chris Olave","NO","5.4","71.5","0.5","0.2","1.0","0.0","0.1","10.0"
"Marvin Harrison Jr.","ARI","5.4","72.3","0.5","0.0","0.1","0.0","0.0","10.0"
"Tyreek Hill","MIA","5.6","75.1","0.4","0.3","1.6","0.0","0.1","9.9"
"Mike Evans","TB","4.7","67.6","0.5","0.0","0.1","0.0","0.0","9.9"
"Davante Adams","LV","5.6","69.8","0.5","0.0","0.1","0.0","0.1","9.7"
"Chris Godwin","TB","6.0","68.2","0.5","0.1","0.8","0.0","0.1","9.5"
"DK Metcalf","SEA","4.7","67.3","0.5","0.1","0.4","0.0","0.1","9.5"
"DJ Moore","CHI","5.3","68.8","0.4","0.2","1.5","0.0","0.1","9.2"
"Zay Flowers","BAL","5.4","65.1","0.4","0.7","3.8","0.0","0.1","9.2"
"Jameson Williams","DET","4.0","61.3","0.4","0.6","4.0","0.0","0.1","8.9"
"Malik Nabers","NYG","5.2","67.2","0.4","0.0","0.4","0.0","0.0","8.9"
"Rashid Shaheed","NO","3.9","57.9","0.4","0.3","2.7","0.0","0.1","8.6"
"Stefon Diggs","HOU","4.9","58.2","0.4","0.1","0.4","0.0","0.1","8.4"
"Drake London","ATL","4.9","60.6","0.4","0.0","0.2","0.0","0.1","8.4"
"George Pickens","PIT","4.3","63.0","0.3","0.2","1.1","0.0","0.1","8.3"
"Calvin Ridley","TEN","4.2","57.5","0.4","0.3","1.7","0.0","0.0","8.2"
"Tank Dell","HOU","4.0","54.2","0.3","0.9","6.0","0.0","0.1","8.1"
"Tee Higgins","CIN","4.1","56.6","0.4","0.0","0.1","0.0","0.0","8.0"
"Amari Cooper","CLE","4.1","57.2","0.4","0.0","0.1","0.0","0.1","7.9"
"Jaxon Smith-Njigba","SEA","5.0","58.4","0.3","0.1","0.5","0.0","0.1","7.7"
"Xavier Worthy","KC","3.6","48.6","0.4","1.3","6.2","0.0","0.0","7.7"
"Michael Pittman Jr.","IND","5.2","58.4","0.3","0.0","0.1","0.0","0.1","7.5"
"Jaylen Waddle","MIA","4.4","55.0","0.2","0.3","1.7","0.0","0.0","7.1"
"Demarcus Robinson","LAR","4.3","53.9","0.3","0.0","0.5","0.0","0.0","7.1"
"Terry McLaurin","WAS","4.2","56.2","0.3","0.0","0.1","0.0","0.0","7.1"
"Jauan Jennings","SF","3.7","50.1","0.3","0.2","0.9","0.0","0.0","6.9"
"Diontae Johnson","CAR","4.2","53.6","0.3","0.0","0.2","0.0","0.1","6.8"
"Brian Thomas Jr.","JAC","4.1","51.8","0.3","0.0","0.2","0.0","0.0","6.8"
"Khalil Shakir","BUF","4.0","49.3","0.3","0.2","1.0","0.0","0.0","6.8"
"Ladd McConkey","LAC","4.0","51.1","0.3","0.0","0.1","0.0","0.0","6.7"
"Gabe Davis","JAC","3.4","48.6","0.3","0.0","0.1","0.0","0.1","6.6"
"Courtland Sutton","DEN","3.8","48.5","0.3","0.0","0.1","0.0","0.0","6.5"
"Quentin Johnston","LAC","3.8","49.4","0.3","0.0","0.1","0.0","0.0","6.5"
"Jayden Reed","GB","3.5","41.9","0.2","0.7","6.6","0.0","0.0","6.4"
"Christian Kirk","JAC","4.1","48.6","0.2","0.0","0.2","0.0","0.1","6.2"
"Jerry Jeudy","CLE","3.9","46.3","0.3","0.0","0.2","0.0","0.1","6.2"
"Tyler Lockett","SEA","3.9","45.8","0.3","0.2","0.8","0.0","0.0","6.2"
"Rome Odunze","CHI","3.5","44.9","0.3","0.0","0.1","0.0","0.0","6.1"
"Keon Coleman","BUF","3.3","43.8","0.3","0.0","0.1","0.0","0.0","6.0"
"Tyler Johnson","LAR","3.9","47.2","0.2","0.0","0.6","0.0","0.0","6.0"
"Darnell Mooney","ATL","3.1","43.1","0.3","0.1","0.6","0.0","0.0","5.9"
"Brandin Cooks","DAL","3.5","41.5","0.3","0.2","1.2","0.0","0.0","5.9"
"Jakobi Meyers","LV","3.5","38.4","0.2","0.4","1.9","0.0","0.0","5.3"
"Mike Williams","NYJ","2.8","37.7","0.3","0.0","0.1","0.0","0.0","5.3"
"Jalen Nailor","MIN","3.5","40.2","0.2","0.0","0.0","0.0","0.0","5.2"
"Wan'Dale Robinson","NYG","3.9","39.7","0.2","0.4","2.6","0.0","0.1","5.2"
"DeAndre Hopkins","TEN","2.9","37.1","0.2","0.0","0.1","0.0","0.0","5.0"
"Jordan Whittington","LAR","3.0","37.3","0.2","0.0","1.4","0.0","0.0","5.0"
"Josh Reynolds","DEN","2.9","36.8","0.2","0.0","0.1","0.0","0.0","5.0"
"Allen Lazard","NYJ","2.5","32.3","0.3","0.0","0.2","0.0","0.0","4.8"
"Romeo Doubs","GB","3.1","35.1","0.2","0.0","0.1","0.0","0.0","4.8"
"Christian Watson","GB","2.5","32.2","0.3","0.1","0.6","0.0","0.0","4.7"
"Elijah Moore","CLE","3.1","32.2","0.2","0.1","1.0","0.0","0.0","4.7"
"Michael Wilson","ARI","2.6","34.0","0.2","0.0","0.1","0.0","0.0","4.7"
"Ray-Ray McCloud III","ATL","2.9","30.5","0.2","0.3","2.5","0.0","0.0","4.7"
"Xavier Legette","CAR","2.8","35.6","0.2","0.0","0.4","0.0","0.0","4.6"
"Rashod Bateman","BAL","2.6","35.0","0.2","0.0","0.1","0.0","0.0","4.5"
"Tutu Atwell","LAR","2.4","33.5","0.1","0.4","2.5","0.0","0.0","4.5"
"Josh Downs","IND","3.0","33.6","0.2","0.0","0.4","0.0","0.0","4.5"
"Curtis Samuel","BUF","2.6","28.2","0.2","0.4","2.6","0.0","0.0","4.4"
"Andrei Iosivas","CIN","2.5","30.0","0.2","0.0","0.2","0.0","0.0","4.3"
"Jahan Dotson","PHI","2.5","32.0","0.2","0.0","0.2","0.0","0.0","4.3"
"Alec Pierce","IND","2.2","32.3","0.2","0.0","0.2","0.0","0.0","4.3"
"Jalen Tolbert","DAL","2.6","31.5","0.2","0.0","0.2","0.0","0.0","4.2"
"Tyler Boyd","TEN","3.1","32.9","0.2","0.0","0.2","0.0","0.1","4.2"
"DeMario Douglas","NE","2.6","31.9","0.1","0.3","1.5","0.0","0.0","4.1"
