"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","20.5","88.2","0.7","3.1","22.0","0.1","0.1","15.6"
"Kyren Williams","LAR","20.8","83.5","0.7","2.6","19.7","0.1","0.1","14.6"
"Breece Hall","NYJ","16.0","73.7","0.5","4.4","32.1","0.2","0.1","14.5"
"Jordan Mason","SF","20.6","87.0","0.7","1.6","10.7","0.1","0.1","14.5"
"Bijan Robinson","ATL","17.5","75.9","0.5","3.7","30.1","0.2","0.1","14.3"
"Alvin Kamara","NO","18.0","74.9","0.5","3.8","29.3","0.2","0.1","14.3"
"Jonathan Taylor","IND","19.9","86.6","0.6","1.9","14.5","0.1","0.1","13.9"
"De'Von Achane","MIA","16.5","70.5","0.5","3.6","27.0","0.2","0.1","13.5"
"Derrick Henry","BAL","17.1","75.1","0.7","1.3","10.6","0.1","0.1","13.0"
"James Conner","ARI","15.7","71.0","0.6","2.2","15.8","0.1","0.1","12.8"
"Josh Jacobs","GB","17.9","73.0","0.5","2.4","16.4","0.1","0.1","12.4"
"Aaron Jones","MIN","14.4","64.0","0.4","3.4","24.2","0.2","0.1","12.1"
"Jahmyr Gibbs","DET","12.3","58.6","0.5","3.5","23.4","0.2","0.1","12.0"
"James Cook","BUF","14.5","64.3","0.4","2.9","23.1","0.2","0.1","11.7"
"Brian Robinson Jr.","WAS","16.0","65.8","0.5","2.3","17.2","0.1","0.1","11.6"
"David Montgomery","DET","15.1","63.7","0.6","1.7","11.1","0.0","0.1","11.3"
"Travis Etienne Jr.","JAC","14.1","59.1","0.4","2.9","22.4","0.1","0.1","11.1"
"Rhamondre Stevenson","NE","14.9","63.8","0.4","2.7","19.2","0.1","0.1","11.0"
"Zack Moss","CIN","14.8","60.8","0.5","2.5","16.7","0.1","0.0","11.0"
"J.K. Dobbins","LAC","14.7","67.0","0.4","2.1","14.0","0.1","0.1","10.8"
"Devin Singletary","NYG","15.1","62.8","0.4","2.5","17.0","0.1","0.1","10.8"
"Tony Pollard","TEN","14.9","63.4","0.3","2.6","19.1","0.1","0.1","10.7"
"Chuba Hubbard","CAR","15.4","61.5","0.4","2.6","18.7","0.1","0.1","10.7"
"Najee Harris","PIT","16.2","63.9","0.4","1.6","10.9","0.1","0.1","10.5"
"Jerome Ford","CLE","13.3","54.9","0.3","2.4","16.2","0.1","0.1","9.4"
"Rachaad White","TB","11.3","40.2","0.2","3.3","25.1","0.1","0.1","8.7"
"Kenneth Walker III","SEA","10.0","46.4","0.4","1.6","11.7","0.1","0.0","8.5"
"Zach Charbonnet","SEA","11.2","42.5","0.3","2.3","17.2","0.1","0.0","8.4"
"Carson Steele","KC","13.3","52.9","0.3","1.1","8.1","0.0","0.0","8.3"
"D'Andre Swift","CHI","12.2","48.6","0.3","1.7","13.7","0.0","0.1","7.9"
"Rico Dowdle","DAL","10.5","41.5","0.2","2.1","15.8","0.1","0.0","7.6"
"Zamir White","LV","13.4","50.7","0.3","1.1","8.3","0.0","0.1","7.6"
"Javonte Williams","DEN","10.1","39.6","0.2","2.6","17.6","0.1","0.0","7.3"
"Bucky Irving","TB","10.5","43.0","0.2","1.7","11.6","0.0","0.1","6.9"
"Cam Akers","HOU","11.6","40.5","0.3","1.0","8.6","0.0","0.0","6.8"
"Dameon Pierce","HOU","12.4","38.3","0.3","1.3","9.0","0.1","0.1","6.6"
"Ezekiel Elliott","DAL","9.5","33.6","0.2","1.7","12.3","0.1","0.0","6.6"
"Tyjae Spears","TEN","7.0","28.3","0.1","2.5","20.5","0.1","0.0","6.1"
"Braelon Allen","NYJ","8.5","35.3","0.2","1.7","10.7","0.1","0.0","6.1"
"Joe Mixon","HOU","0.0","30.9","0.2","1.5","10.8","0.0","0.0","5.6"
"Ty Chandler","MIN","7.3","30.8","0.2","1.6","10.7","0.1","0.1","5.6"
"Samaje Perine","KC","5.5","22.6","0.1","2.4","17.7","0.1","0.0","5.4"
"Alexander Mattison","LV","7.6","26.8","0.1","2.1","14.1","0.1","0.1","5.4"
"Roschon Johnson","CHI","8.7","29.8","0.2","1.5","10.4","0.1","0.1","5.4"
"Raheem Mostert","MIA","5.7","32.2","0.2","0.9","6.4","0.0","0.1","5.3"
"Antonio Gibson","NE","7.5","29.0","0.2","1.5","11.7","0.0","0.1","5.2"
"Gus Edwards","LAC","8.4","33.8","0.2","0.5","3.5","0.0","0.0","5.2"
"Chase Brown","CIN","6.2","25.3","0.2","1.6","12.5","0.1","0.0","5.1"
"Cordarrelle Patterson","PIT","6.5","25.5","0.2","1.3","10.6","0.1","0.0","5.0"
"Tyler Allgeier","ATL","7.0","30.4","0.2","0.7","5.5","0.0","0.0","4.8"
"Jaleel McLaughlin","DEN","6.6","26.0","0.2","1.6","10.1","0.1","0.0","4.8"
"Miles Sanders","CAR","6.8","28.7","0.2","1.3","9.2","0.0","0.1","4.7"
"Emanuel Wilson","GB","6.1","25.5","0.2","1.1","8.3","0.0","0.0","4.6"
"Jamaal Williams","NO","6.8","24.5","0.2","1.0","5.9","0.0","0.0","4.2"
"D'Onta Foreman","CLE","7.5","27.1","0.2","0.4","3.0","0.0","0.0","4.0"
"Justice Hill","BAL","3.3","13.0","0.1","2.3","16.8","0.1","0.0","3.9"
"Tank Bigsby","JAC","6.3","23.9","0.2","0.5","3.7","0.0","0.0","3.8"
"Ray Davis","BUF","5.2","19.5","0.1","0.9","6.4","0.0","0.0","3.6"
"Trey Benson","ARI","5.2","19.6","0.1","0.7","4.8","0.0","0.0","3.4"
"Isaac Guerendo","SF","5.2","18.6","0.2","0.5","3.6","0.0","0.0","3.3"
"Tyrone Tracy Jr.","NYG","3.7","13.4","0.1","1.1","8.0","0.1","0.0","3.0"
"Kareem Hunt","KC","2.6","12.7","0.1","0.7","4.7","0.0","0.0","2.6"
"Jeremy McNichols","WAS","3.5","10.0","0.1","1.0","7.3","0.0","0.0","2.4"
"Khalil Herbert","CHI","3.1","12.9","0.1","0.9","5.8","0.0","0.0","2.4"
"Jaylen Warren","PIT","1.5","11.4","0.1","0.9","6.6","0.0","0.0","2.4"
"Ty Johnson","BUF","1.0","4.4","0.0","1.3","10.7","0.1","0.0","2.1"
"Pierre Strong Jr.","CLE","1.6","8.8","0.1","0.9","6.0","0.0","0.0","2.0"
"Tyler Badie","DEN","3.4","13.7","0.1","0.3","2.1","0.0","0.0","2.0"
"Deuce Vaughn","DAL","2.8","11.1","0.1","0.5","3.7","0.0","0.0","2.0"
"Emari Demercado","ARI","1.9","8.4","0.1","0.8","5.9","0.0","0.0","2.0"
"Kyle Juszczyk","SF","0.5","2.1","0.0","1.5","12.0","0.1","0.0","1.9"
"Ronnie Rivers","LAR","3.5","11.7","0.1","0.4","2.7","0.0","0.0","1.9"
"Trey Sermon","IND","2.3","9.8","0.1","0.3","2.5","0.0","0.0","1.6"
"Kenneth Gainwell","PHI","1.2","6.1","0.0","0.8","5.6","0.0","0.0","1.6"
"Dare Ogunbowale","HOU","1.0","3.5","0.0","1.1","8.4","0.0","0.0","1.5"
"Jeff Wilson Jr.","MIA","1.4","6.3","0.0","0.3","2.2","0.0","0.0","1.2"
"Ameer Abdullah","LV","1.0","3.5","0.0","0.7","5.4","0.0","0.0","1.1"
"Eric Gray","NYG","1.0","4.3","0.0","0.5","3.2","0.0","0.0","1.1"
"Jaylen Wright","MIA","1.2","5.3","0.0","0.3","1.7","0.0","0.0","1.0"
"Blake Corum","LAR","1.0","4.3","0.0","0.2","1.4","0.0","0.0","0.7"
"D'Ernest Johnson","JAC","0.5","4.4","0.0","0.2","1.3","0.0","0.0","0.6"
"Hunter Luepke","DAL","0.3","1.1","0.0","0.5","3.3","0.0","0.0","0.6"
