"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","4.7","50.2","0.4","0.0","7.2"
"Dallas Goedert","PHI","4.8","53.4","0.3","0.0","7.0"
"Trey McBride","ARI","4.9","49.8","0.3","0.1","6.9"
"Brock Bowers","LV","4.7","49.1","0.3","0.0","6.4"
"George Kittle","SF","3.5","45.5","0.3","0.0","6.4"
"Kyle Pitts","ATL","3.8","46.0","0.3","0.0","6.3"
"Jake Ferguson","DAL","4.3","45.6","0.3","0.0","6.3"
"Dalton Kincaid","BUF","4.3","45.3","0.3","0.0","6.1"
"Mark Andrews","BAL","3.5","39.5","0.3","0.0","5.5"
"Sam LaPorta","DET","3.9","38.6","0.3","0.0","5.3"
"Cole Kmet","CHI","3.7","38.2","0.2","0.0","5.1"
"Hunter Henry","NE","3.5","37.5","0.2","0.0","5.1"
"Colby Parkinson","LAR","3.4","35.2","0.2","0.0","4.8"
"Isaiah Likely","BAL","2.9","33.2","0.2","0.0","4.8"
"Zach Ertz","WAS","3.4","32.8","0.2","0.0","4.7"
"David Njoku","CLE","3.3","34.7","0.2","0.0","4.7"
"Taysom Hill","NO","1.5","13.8","0.1","0.0","4.5"
"Mike Gesicki","CIN","3.2","31.9","0.2","0.0","4.4"
"Pat Freiermuth","PIT","3.2","32.8","0.2","0.0","4.4"
"Dalton Schultz","HOU","2.7","30.0","0.2","0.0","4.4"
"Evan Engram","JAC","3.8","34.9","0.2","0.0","4.3"
"Noah Fant","SEA","3.1","32.2","0.2","0.0","4.3"
"Tyler Conklin","NYJ","2.9","29.8","0.2","0.0","4.2"
"Cade Otton","TB","2.9","28.7","0.2","0.0","4.1"
"Tucker Kraft","GB","2.6","27.1","0.2","0.0","3.7"
"Hayden Hurst","LAC","2.3","22.3","0.1","0.0","3.1"
"Jonnu Smith","MIA","2.2","22.9","0.1","0.0","3.1"
"Johnny Mundt","MIN","2.0","20.4","0.2","0.0","2.9"
"Erick All Jr.","CIN","2.2","20.5","0.1","0.0","2.9"
