"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"CeeDee Lamb","DAL","6.6","86.9","0.5","0.4","3.3","0.0","0.1","12.4"
"Ja'Marr Chase","CIN","6.4","82.9","0.6","0.1","0.6","0.0","0.1","11.8"
"Justin Jefferson","MIN","6.1","85.2","0.6","0.0","0.3","0.0","0.1","11.8"
"Nico Collins","HOU","5.5","80.8","0.6","0.0","0.2","0.0","0.1","11.3"
"Marvin Harrison Jr.","ARI","5.5","75.3","0.6","0.0","0.1","0.0","0.1","11.0"
"Rashee Rice","KC","6.8","78.9","0.5","0.2","1.2","0.0","0.1","10.9"
"Malik Nabers","NYG","5.7","75.2","0.5","0.3","1.4","0.0","0.1","10.7"
"Amon-Ra St. Brown","DET","6.8","77.7","0.4","0.0","0.8","0.0","0.1","10.3"
"Brandon Aiyuk","SF","5.0","74.1","0.5","0.0","0.1","0.0","0.1","10.1"
"Mike Evans","TB","4.6","67.4","0.5","0.0","0.1","0.0","0.0","9.7"
"DK Metcalf","SEA","4.8","70.2","0.5","0.0","0.1","0.0","0.1","9.7"
"Chris Godwin","TB","5.8","68.5","0.4","0.1","0.7","0.0","0.1","9.4"
"Davante Adams","LV","5.4","67.9","0.4","0.0","0.1","0.0","0.1","9.3"
"Diontae Johnson","CAR","5.3","69.0","0.4","0.0","0.2","0.0","0.1","9.2"
"Chris Olave","NO","5.3","68.4","0.4","0.2","0.7","0.0","0.1","9.2"
"DJ Moore","CHI","4.9","67.4","0.4","0.3","1.5","0.0","0.1","9.0"
"Garrett Wilson","NYJ","5.0","60.8","0.5","0.2","1.4","0.0","0.1","8.9"
"DeVonta Smith","PHI","5.1","64.7","0.4","0.0","0.1","0.0","0.1","8.9"
"Stefon Diggs","HOU","5.0","61.3","0.5","0.1","0.5","0.0","0.1","8.9"
"Zay Flowers","BAL","5.4","61.7","0.4","0.8","4.2","0.0","0.1","8.8"
"Tyreek Hill","MIA","5.1","65.3","0.4","0.2","1.5","0.0","0.0","8.7"
"Drake London","ATL","5.1","62.8","0.4","0.0","0.2","0.0","0.1","8.6"
"Tee Higgins","CIN","4.3","58.7","0.4","0.0","0.1","0.0","0.1","8.3"
"Jayden Reed","GB","4.1","52.4","0.3","1.8","9.2","0.0","0.1","8.2"
"George Pickens","PIT","4.4","62.5","0.3","0.2","1.0","0.0","0.1","8.2"
"Jauan Jennings","SF","4.5","57.8","0.4","0.0","0.3","0.0","0.0","8.1"
"Terry McLaurin","WAS","4.7","61.7","0.3","0.0","0.1","0.0","0.1","7.9"
"Jameson Williams","DET","3.6","52.8","0.4","0.6","4.0","0.0","0.1","7.8"
"Calvin Ridley","TEN","4.1","55.8","0.3","0.2","1.1","0.0","0.0","7.6"
"Tank Dell","HOU","3.8","51.2","0.3","0.6","3.7","0.0","0.1","7.5"
"Rashid Shaheed","NO","3.3","50.5","0.3","0.3","2.0","0.0","0.1","7.3"
"Khalil Shakir","BUF","4.3","54.0","0.3","0.2","0.8","0.0","0.0","7.2"
"Jaxon Smith-Njigba","SEA","5.0","55.3","0.3","0.0","0.2","0.0","0.1","7.2"
"Amari Cooper","CLE","3.9","53.2","0.3","0.0","0.1","0.0","0.1","7.1"
"Rome Odunze","CHI","3.8","51.8","0.3","0.2","0.9","0.0","0.1","7.0"
"Darnell Mooney","ATL","3.9","51.5","0.3","0.0","0.3","0.0","0.0","7.0"
"Jordan Addison","MIN","3.8","50.3","0.3","0.0","0.4","0.0","0.0","7.0"
"Courtland Sutton","DEN","4.1","52.3","0.3","0.0","0.1","0.0","0.1","6.7"
"Xavier Worthy","KC","3.2","40.7","0.3","1.7","7.2","0.0","0.0","6.7"
"Ladd McConkey","LAC","4.0","49.8","0.3","0.0","0.1","0.0","0.0","6.7"
"Michael Pittman Jr.","IND","4.5","52.4","0.2","0.0","0.1","0.0","0.1","6.6"
"Christian Kirk","JAC","4.2","52.6","0.2","0.0","0.1","0.0","0.0","6.5"
"Gabe Davis","JAC","3.3","48.8","0.3","0.0","0.1","0.0","0.1","6.5"
"Brian Thomas Jr.","JAC","3.8","49.3","0.2","0.0","0.2","0.0","0.1","6.3"
"Jaylen Waddle","MIA","3.9","47.3","0.2","0.3","1.4","0.0","0.0","6.2"
"Demarcus Robinson","LAR","3.6","46.3","0.3","0.0","0.2","0.0","0.0","6.2"
"Tyler Lockett","SEA","4.1","47.9","0.3","0.0","0.1","0.0","0.1","6.2"
"Tutu Atwell","LAR","3.4","46.8","0.2","0.6","2.8","0.0","0.0","6.1"
"Christian Watson","GB","2.8","40.4","0.3","0.2","1.2","0.0","0.0","6.0"
"Jerry Jeudy","CLE","3.7","45.5","0.2","0.0","0.2","0.0","0.1","5.9"
"Michael Wilson","ARI","3.3","42.4","0.3","0.0","0.1","0.0","0.0","5.9"
"Quentin Johnston","LAC","3.5","43.4","0.3","0.0","0.1","0.0","0.0","5.9"
"Wan'Dale Robinson","NYG","4.3","44.0","0.2","0.2","1.8","0.0","0.1","5.8"
"Xavier Legette","CAR","3.4","44.4","0.2","0.0","0.4","0.0","0.0","5.8"
"Brandin Cooks","DAL","3.3","38.9","0.3","0.4","1.8","0.0","0.0","5.8"
"Romeo Doubs","GB","3.4","41.0","0.3","0.0","0.1","0.0","0.1","5.7"
"Keenan Allen","CHI","3.8","43.3","0.2","0.0","0.2","0.0","0.1","5.7"
"DeMario Douglas","NE","3.6","43.0","0.2","0.7","3.1","0.0","0.0","5.5"
"DeAndre Hopkins","TEN","3.4","42.2","0.2","0.0","0.1","0.0","0.1","5.5"
"Jonathan Mingo","CAR","3.2","40.8","0.2","0.4","1.8","0.0","0.0","5.4"
"Jakobi Meyers","LV","3.6","39.0","0.2","0.2","1.2","0.0","0.1","5.2"
"Joshua Palmer","LAC","3.1","36.8","0.2","0.0","0.1","0.0","0.0","5.0"
"Josh Downs","IND","3.3","39.3","0.2","0.0","0.4","0.0","0.0","5.0"
"Greg Dortch","ARI","3.3","33.6","0.2","0.2","1.4","0.0","0.0","4.9"
"Mike Williams","NYJ","2.6","34.3","0.3","0.0","0.1","0.0","0.0","4.9"
"Tyler Johnson","LAR","3.1","36.9","0.2","0.0","0.0","0.0","0.0","4.8"
"Rashod Bateman","BAL","2.8","35.9","0.2","0.0","0.1","0.0","0.0","4.8"
"Keon Coleman","BUF","2.7","35.0","0.2","0.0","0.1","0.0","0.0","4.8"
"A.J. Brown","PHI","2.3","34.7","0.2","0.0","0.2","0.0","0.0","4.7"
"Allen Lazard","NYJ","2.4","31.5","0.3","0.0","0.1","0.0","0.0","4.7"
"Andrei Iosivas","CIN","2.7","32.3","0.2","0.0","0.3","0.0","0.0","4.6"
"Ray-Ray McCloud III","ATL","2.7","29.5","0.2","0.6","3.8","0.0","0.0","4.6"
"Alec Pierce","IND","2.1","33.9","0.2","0.0","0.1","0.0","0.0","4.5"
"Josh Reynolds","DEN","2.8","34.2","0.2","0.0","0.1","0.0","0.0","4.5"
"Dontayvion Wicks","GB","2.4","31.0","0.2","0.0","0.2","0.0","0.0","4.3"
"Jahan Dotson","PHI","2.5","31.7","0.2","0.0","0.2","0.0","0.0","4.3"
"Lil'Jordan Humphrey","DEN","3.0","35.0","0.1","0.0","0.0","0.0","0.0","4.3"
"Jalen Tolbert","DAL","2.5","29.9","0.2","0.0","0.2","0.0","0.0","4.2"
