"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Alvin Kamara (NO)","1","20","115","5.8","80","4.0","35","1.8","3","0","0","12","4","0","0","0","0","15","2","3","1","0"
"2","James Cook (BUF)","1","11","78","7.1","23","2.1","55","5.0","1","0","0","49","1","1","1","1","0","49","1","1","1","0"
"3","De'Von Achane (MIA)","1","22","96","4.4","50","2.3","46","2.1","1","4","-10","0","4","0","0","0","0","17","7","7","1","11"
"4","J.K. Dobbins (LAC)","1","17","131","7.7","45","2.6","86","5.1","1","1","-2","43","4","1","1","1","0","43","1","1","0","0"
"5","James Conner (ARI)","1","21","122","5.8","53","2.5","69","3.3","3","2","-2","5","4","1","0","0","0","22","1","1","0","2"
"6","Braelon Allen (NYJ)","1","7","33","4.7","3","0.4","30","4.3","0","1","-1","20","1","1","0","0","0","20","2","4","1","6"
"7","Breece Hall (NYJ)","1","14","62","4.4","14","1.0","48","3.4","1","3","-10","0","1","1","1","0","0","30","7","8","0","8"
"8","Jordan Mason (SF)","1","20","100","5.0","61","3.1","39","2.0","0","2","-3","10","2","1","0","0","0","22","1","1","0","0"
"9","Derrick Henry (BAL)","1","18","84","4.7","27","1.5","57","3.2","1","3","-7","3","2","1","0","0","0","29","1","1","0","11"
"10","Rhamondre Stevenson (NE)","1","21","81","3.9","39","1.9","42","2.0","1","1","-4","1","2","0","0","0","0","18","2","5","3","7"
"11","Brian Robinson Jr. (WAS)","1","17","133","7.8","58","3.4","75","4.4","3","3","-6","0","5","2","2","1","0","40","1","3","2","1"
"12","Saquon Barkley (PHI)","1","22","95","4.3","44","2.0","51","2.3","1","3","-8","0","2","0","0","0","0","11","4","5","2","8"
"13","Devin Singletary (NYG)","1","16","95","5.9","48","3.0","47","2.9","3","1","-2","7","4","1","0","0","0","22","1","1","0","0"
"14","Jonathan Taylor (IND)","1","12","103","8.6","78","6.5","25","2.1","0","2","-4","0","5","1","0","0","0","29","2","4","0","5"
"15","Josh Jacobs (GB)","1","32","151","4.7","95","3.0","56","1.8","1","3","-7","0","4","1","1","0","0","34","0","0","0","0"
"16","David Montgomery (DET)","1","11","35","3.2","11","1.0","24","2.2","1","1","-2","1","0","0","0","0","0","9","4","4","1","8"
"17","Zach Charbonnet (SEA)","1","14","38","2.7","14","1.0","24","1.7","1","1","-1","1","0","0","0","0","0","9","5","5","0","8"
"18","Bijan Robinson (ATL)","1","14","97","6.9","62","4.4","35","2.5","1","1","-1","0","4","0","0","0","0","19","4","5","0","3"
"19","Travis Etienne Jr. (JAC)","1","13","52","4.0","22","1.7","30","2.3","0","4","-9","4","2","1","0","0","0","20","3","4","1","5"
"20","Kyren Williams (LAR)","1","12","25","2.1","10","0.8","15","1.3","0","4","-6","4","0","0","0","0","0","9","4","5","3","11"
"21","Isiah Pacheco (KC)","1","19","90","4.7","64","3.4","26","1.4","0","0","0","0","2","0","0","0","0","11","5","5","1","4"
"22","Jahmyr Gibbs (DET)","1","13","84","6.5","28","2.2","56","4.3","4","2","-9","0","3","2","0","0","0","24","7","7","4","0"
"23","Antonio Gibson (NE)","1","11","96","8.7","34","3.1","62","5.6","1","2","-3","0","2","1","1","1","0","45","1","1","0","4"
"24","Tony Pollard (TEN)","1","17","62","3.6","15","0.9","47","2.8","3","2","-2","0","2","0","0","0","0","15","5","6","2","7"
"25","Austin Ekeler (WAS)","1","8","38","4.8","22","2.8","16","2.0","1","0","0","0","1","0","0","0","0","13","3","3","0","2"
"26","Ty Chandler (MIN)","1","10","82","8.2","70","7.0","12","1.2","0","0","0","0","3","1","0","0","0","25","0","0","0","0"
"27","Chuba Hubbard (CAR)","1","10","64","6.4","18","1.8","46","4.6","0","0","0","0","2","1","0","0","0","23","4","5","0","4"
"28","Najee Harris (PIT)","1","17","69","4.1","40","2.4","29","1.7","0","0","0","0","1","0","0","0","0","11","1","2","0","0"
"29","Khalil Herbert (CHI)","1","2","3","1.5","1","0.5","2","1.0","0","0","0","2","0","0","0","0","0","2","2","2","0","1"
"30","Javonte Williams (DEN)","1","11","17","1.5","4","0.4","13","1.2","0","3","-8","0","0","0","0","0","0","5","5","5","0","10"
"31","Tyler Allgeier (ATL)","1","9","53","5.9","36","4.0","17","1.9","0","0","0","0","2","0","0","0","0","15","1","1","0","3"
"32","Jerome Ford (CLE)","1","7","64","9.1","49","7.0","15","2.1","0","0","0","0","2","1","1","0","0","36","1","2","0","0"
"33","Alexander Mattison (LV)","1","4","1","0.3","-1","-0.3","2","0.5","0","2","-3","1","0","0","0","0","0","3","0","0","0","0"
"34","Jaylen Warren (PIT)","1","9","42","4.7","23","2.6","19","2.1","1","0","0","0","2","0","0","0","0","11","2","2","1","2"
"35","Gus Edwards (LAC)","1","18","59","3.3","21","1.2","38","2.1","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"36","Rico Dowdle (DAL)","1","7","30","4.3","20","2.9","10","1.4","0","0","0","0","0","0","0","0","0","7","4","5","0","6"
"37","D'Onta Foreman (CLE)","1","14","42","3.0","23","1.6","19","1.4","0","1","-1","0","0","0","0","0","0","9","1","1","0","0"
"38","Joe Mixon (HOU)","1","9","25","2.8","17","1.9","8","0.9","0","1","-2","0","1","0","0","0","0","16","3","5","0","8"
"39","Aaron Jones (MIN)","1","9","32","3.6","17","1.9","15","1.7","0","1","-2","0","0","0","0","0","0","9","5","6","2","5"
"40","Zack Moss (CIN)","1","12","34","2.8","23","1.9","11","0.9","0","1","-2","0","0","0","0","0","0","8","1","1","0","13"
"41","Emari Demercado (ARI)","1","2","46","23.0","7","3.5","39","19.5","2","0","0","0","1","1","1","1","0","41","0","0","0","0"
"42","D'Andre Swift (CHI)","1","14","18","1.3","10","0.7","8","0.6","0","3","-9","0","0","0","0","0","0","7","4","5","0","2"
"43","Jamaal Williams (NO)","1","8","39","4.9","22","2.8","17","2.1","0","1","-2","0","1","0","0","0","0","11","0","0","0","0"
"44","Zamir White (LV)","1","9","24","2.7","8","0.9","16","1.8","1","0","0","0","0","0","0","0","0","8","3","4","0","14"
"45","Ty Johnson (BUF)","1","1","-1","-1.0","0","0.0","0","0.0","0","1","-1","0","0","0","0","0","0","0","1","2","0","1"
"46","Justice Hill (BAL)","1","4","22","5.5","10","2.5","12","3.0","1","0","0","0","1","0","0","0","0","14","2","2","0","5"
"47","Ezekiel Elliott (DAL)","1","6","16","2.7","9","1.5","7","1.2","0","0","0","0","0","0","0","0","0","7","2","3","1","1"
"48","Chase Brown (CIN)","1","4","31","7.8","21","5.3","10","2.5","0","0","0","0","1","0","0","0","0","12","0","0","0","0"
"49","Tyjae Spears (TEN)","1","6","20","3.3","8","1.3","12","2.0","0","0","0","0","0","0","0","0","0","7","2","2","0","4"
"50","Blake Corum (LAR)","1","8","28","3.5","16","2.0","12","1.5","0","2","-2","0","0","0","0","0","0","9","0","0","0","0"
"51","Ray Davis (BUF)","1","9","29","3.2","10","1.1","19","2.1","0","2","-4","0","1","0","0","0","0","10","1","1","0","0"
"52","D'Ernest Johnson (JAC)","1","5","26","5.2","10","2.0","16","3.2","0","0","0","0","0","0","0","0","0","9","0","0","0","0"
"53","Miles Sanders (CAR)","1","7","20","2.9","6","0.9","14","2.0","0","1","-2","0","0","0","0","0","0","6","3","3","0","2"
"54","Dare Ogunbowale (HOU)","1","2","3","1.5","2","1.0","1","0.5","0","0","0","0","0","0","0","0","0","3","2","2","0","0"
"55","Rachaad White (TB)","1","10","18","1.8","2","0.2","16","1.6","1","1","-1","0","0","0","0","0","0","5","1","1","0","3"
"56","Bucky Irving (TB)","1","7","22","3.1","9","1.3","13","1.9","1","1","-1","0","0","0","0","0","0","6","0","0","0","0"
"57","Kyle Juszczyk (SF)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","3","5","0","1"
"58","MarShawn Lloyd (GB)","1","6","15","2.5","12","2.0","3","0.5","0","0","0","0","0","0","0","0","0","5","1","1","0","2"
"59","Tyler Badie (DEN)","1","1","16","16.0","8","8.0","8","8.0","0","0","0","0","1","0","0","0","0","16","1","1","1","0"
"60","Trey Benson (ARI)","1","11","10","0.9","2","0.2","8","0.7","0","3","-5","0","0","0","0","0","0","4","1","1","0","4"
"61","Deuce Vaughn (DAL)","1","4","11","2.8","4","1.0","7","1.8","0","0","0","0","0","0","0","0","0","4","1","1","0","3"
"62","Sione Vaki (DET)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"63","Cam Akers (HOU)","1","7","32","4.6","21","3.0","11","1.6","1","0","0","0","1","0","0","0","0","13","1","1","0","0"
"64","Jeff Wilson Jr. (MIA)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","3"
"65","Hassan Haskins (LAC)","1","3","11","3.7","4","1.3","7","2.3","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"66","Emanuel Wilson (GB)","1","5","9","1.8","6","1.2","3","0.6","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"67","Trey Sermon (IND)","1","2","0","0.0","-3","-1.5","3","1.5","0","1","-4","0","0","0","0","0","0","4","1","1","0","0"
"68","Travis Homer (CHI)","1","1","6","6.0","4","4.0","2","2.0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"69","Kenneth Gainwell (PHI)","1","2","6","3.0","4","2.0","2","1.0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"70","Jaleel McLaughlin (DEN)","1","3","6","2.0","1","0.3","5","1.7","0","1","-3","0","0","0","0","0","0","7","0","0","0","0"
"71","Pierre Strong Jr. (CLE)","1","1","-5","-5.0","0","0.0","0","0.0","0","1","-5","0","0","0","0","0","0","0","1","2","0","0"
"72","Jaylen Wright (MIA)","1","5","4","0.8","-4","-0.8","8","1.6","0","3","-7","0","0","0","0","0","0","8","0","0","0","0"
"73","Carson Steele (KC)","1","7","24","3.4","14","2.0","10","1.4","1","0","0","0","0","0","0","0","0","9","0","0","0","0"
"74","Cordarrelle Patterson (PIT)","1","2","3","1.5","2","1.0","1","0.5","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"75","Samaje Perine (KC)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","3"
"76","Alec Ingold (MIA)","1","2","2","1.0","0","0.0","2","1.0","0","1","-1","0","0","0","0","0","0","3","0","0","0","0"
"77","Ameer Abdullah (LV)","1","2","1","0.5","-1","-0.5","2","1.0","0","1","-3","0","0","0","0","0","0","4","2","2","0","1"
"78","JaMycal Hasty (NE)","1","1","2","2.0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"79","Tyrone Tracy Jr. (NYG)","1","1","2","2.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"80","Tyler Goodson (IND)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"81","Michael Burton (DEN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"82","Isaac Guerendo (SF)","1","1","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","British Brooks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","John Kelly Jr. (BAL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Trayveon Williams (CIN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Jakob Johnson (NYG)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Craig Reynolds (DET)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","C.J. Ham (MIN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Jeremy McNichols (WAS)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","Myles Gaskin (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Raheem Mostert (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Kenny McIntosh (SEA)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Roschon Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Chris Brooks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Patrick Ricard (BAL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"97","Avery Williams (ATL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Mike Boone (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","Adam Prentice (NO)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"101","Sean Tucker (TB)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Audric Estime (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Ronnie Rivers (LAR)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"104","Kenneth Walker III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Chris Rodriguez Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","Dameon Pierce (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Will Shipley (PHI)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Julius Chestnut (TEN)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Eric Gray (NYG)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Tyreik McAllister (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Tank Bigsby (JAC)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Raheem Blackshear (CAR)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","Reggie Gilliam (BUF)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Jordan Mims (NO)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","DeeJay Dallas (ARI)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","Khari Blasingame (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","Hunter Luepke (DAL)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
""
""
