"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","George Kittle (SF)","1","7","76","10.9","31","4.4","58","8.3","45","6.4","10","1.4","0","8","22.2%","7","0","2","4","1","0","0","0","25"
"2","Trey McBride (ARI)","1","6","67","11.2","33","5.5","33","5.5","34","5.7","21","3.5","1","6","28.6%","6","0","0","2","1","0","0","0","21"
"3","Hunter Henry (NE)","1","8","109","13.6","45","5.6","69","8.6","64","8.0","19","2.4","0","12","50.0%","9","1","1","5","1","1","0","0","35"
"4","Brock Bowers (LV)","1","9","98","10.9","56","6.2","56","6.2","42","4.7","10","1.1","0","9","25.0%","9","0","0","5","2","0","0","0","27"
"5","Mike Gesicki (CIN)","1","7","91","13.0","39","5.6","62","8.9","52","7.4","8","1.1","0","9","26.5%","8","1","1","4","1","1","0","0","37"
"6","Elijah Higgins (ARI)","1","1","18","18.0","18","18.0","18","18.0","0","0.0","0","0.0","0","1","4.8%","1","0","1","1","0","0","0","0","18"
"7","Brenton Strange (JAC)","1","3","65","21.7","54","18.0","82","27.3","11","3.7","8","2.7","0","6","22.2%","5","2","1","2","2","1","0","0","30"
"8","Darnell Washington (PIT)","1","1","5","5.0","5","5.0","5","5.0","0","0.0","0","0.0","0","1","5.6%","1","0","1","0","0","0","0","0","5"
"9","Zach Ertz (WAS)","1","4","62","15.5","51","12.8","51","12.8","11","2.8","1","0.3","0","4","13.8%","4","0","0","3","2","0","0","0","21"
"10","Jonnu Smith (MIA)","1","6","53","8.8","17","2.8","39","6.5","36","6.0","10","1.7","1","7","18.9%","6","0","1","2","0","0","0","0","15"
"11","Mark Andrews (BAL)","1","4","51","12.8","38","9.5","67","16.8","13","3.3","10","2.5","0","5","16.1%","4","0","0","4","0","0","0","0","16"
"12","Luke Schoonmaker (DAL)","1","6","43","7.2","15","2.5","15","2.5","28","4.7","8","1.3","0","6","14.6%","6","0","0","1","0","0","0","0","15"
"13","Pat Freiermuth (PIT)","1","4","39","9.8","22","5.5","22","5.5","17","4.3","3","0.8","0","4","22.2%","4","0","1","2","0","0","0","0","14"
"14","Dallas Goedert (PHI)","1","3","38","12.7","29","9.7","38","12.7","9","3.0","4","1.3","0","4","13.8%","3","0","1","2","0","0","0","0","16"
"15","Dalton Kincaid (BUF)","1","4","33","8.3","-8","-2.0","-8","-2.0","41","10.3","20","5.0","2","4","22.2%","4","0","0","0","0","0","0","0","9"
"16","Erick All Jr. (CIN)","1","4","32","8.0","18","4.5","18","4.5","14","3.5","5","1.3","0","4","11.8%","4","0","0","1","0","0","0","0","19"
"17","Will Dissly (LAC)","1","3","29","9.7","11","3.7","11","3.7","18","6.0","7","2.3","1","3","15.8%","3","0","0","1","0","0","0","0","15"
"18","Drew Sample (CIN)","1","3","28","9.3","10","3.3","10","3.3","18","6.0","2","0.7","0","3","8.8%","3","0","0","1","0","0","0","0","12"
"19","Cole Kmet (CHI)","1","4","27","6.8","17","4.3","44","11.0","10","2.5","1","0.3","0","5","14.7%","4","0","0","1","0","0","0","0","12"
"20","Isaiah Likely (BAL)","1","2","26","13.0","2","1.0","26","13.0","24","12.0","18","9.0","0","3","9.7%","2","0","0","2","0","0","0","0","15"
"21","Eric Saubert (SF)","1","2","26","13.0","15","7.5","15","7.5","11","5.5","2","1.0","0","2","5.6%","2","0","0","2","0","0","0","0","14"
"22","Tommy Tremble (CAR)","1","3","23","7.7","5","1.7","15","5.0","18","6.0","6","2.0","0","4","15.4%","3","0","0","1","0","0","0","0","12"
"23","Mo Alie-Cox (IND)","1","1","22","22.0","13","13.0","13","13.0","9","9.0","0","0.0","0","1","3.2%","1","0","0","1","1","0","0","0","22"
"24","Dalton Schultz (HOU)","1","2","21","10.5","9","4.5","26","13.0","12","6.0","1","0.5","0","3","8.8%","2","0","0","1","0","0","0","0","16"
"25","Kyle Pitts (ATL)","1","3","20","6.7","11","3.7","15","5.0","9","3.0","8","2.7","1","4","13.8%","3","0","1","1","0","0","0","0","11"
"26","Taysom Hill (NO)","1","1","1","1.0","-1","-1.0","-1","-1.0","2","2.0","1","1.0","0","1","6.7%","1","0","0","0","0","0","0","0","1"
"27","Grant Calcaterra (PHI)","1","2","19","9.5","14","7.0","14","7.0","5","2.5","4","2.0","0","2","6.9%","2","0","0","1","0","0","0","0","15"
"28","Cade Stover (HOU)","1","1","18","18.0","0","0.0","0","0.0","18","18.0","0","0.0","0","1","2.9%","1","0","0","1","0","0","0","0","18"
"29","Tucker Kraft (GB)","1","2","16","8.0","1","0.5","1","0.5","15","7.5","4","2.0","0","2","15.4%","2","0","0","1","0","0","0","0","17"
"30","Chig Okonkwo (TEN)","1","3","16","5.3","1","0.3","1","0.3","15","5.0","6","2.0","0","3","11.1%","3","0","0","0","0","0","0","0","8"
"31","Greg Dulcich (DEN)","1","3","16","5.3","6","2.0","63","21.0","10","3.3","0","0.0","0","8","24.2%","5","2","1","0","0","0","0","0","9"
"32","Noah Fant (SEA)","1","1","14","14.0","7","7.0","16","16.0","7","7.0","2","2.0","0","3","7.0%","2","1","0","1","0","0","0","0","14"
"33","Sam LaPorta (DET)","1","2","13","6.5","8","4.0","2","1.0","5","2.5","2","1.0","0","3","5.7%","2","0","0","0","0","0","0","0","7"
"34","Josh Whyle (TEN)","1","2","13","6.5","5","2.5","5","2.5","8","4.0","0","0.0","1","2","7.4%","2","0","0","1","0","0","0","0","12"
"35","Luke Farrell (JAC)","1","2","13","6.5","7","3.5","7","3.5","6","3.0","0","0.0","0","2","7.4%","2","0","0","0","0","0","0","0","7"
"36","Colby Parkinson (LAR)","1","1","12","12.0","6","6.0","15","15.0","6","6.0","2","2.0","0","2","7.4%","2","1","1","1","0","0","0","0","12"
"37","Drew Ogletree (IND)","1","1","12","12.0","7","7.0","26","26.0","5","5.0","4","4.0","0","2","6.5%","1","0","0","1","0","0","0","0","12"
"38","Johnny Mundt (MIN)","1","2","12","6.0","6","3.0","7","3.5","6","3.0","0","0.0","0","3","12.5%","2","0","0","0","0","0","0","0","6"
"39","Michael Mayer (LV)","1","1","11","11.0","6","6.0","6","6.0","5","5.0","2","2.0","0","1","2.8%","1","0","0","1","0","0","0","0","11"
"40","Jordan Akins (CLE)","1","1","10","10.0","-4","-4.0","-4","-4.0","14","14.0","0","0.0","0","1","3.0%","1","0","0","1","0","0","0","0","10"
"41","Tyler Conklin (NYJ)","1","1","10","10.0","5","5.0","1","1.0","5","5.0","1","1.0","0","2","6.9%","1","0","0","1","0","0","0","0","10"
"42","Kylen Granson (IND)","1","1","9","9.0","2","2.0","12","12.0","7","7.0","1","1.0","0","2","6.5%","1","0","1","0","0","0","0","0","9"
"43","Ja'Tavion Sanders (CAR)","1","2","8","4.0","3","1.5","3","1.5","5","2.5","1","0.5","0","2","7.7%","2","0","0","0","0","0","0","0","6"
"44","Durham Smythe (MIA)","1","1","8","8.0","4","4.0","4","4.0","4","4.0","0","0.0","0","1","2.7%","1","0","1","0","0","0","0","0","8"
"45","Jared Wiley (KC)","1","1","7","7.0","4","4.0","4","4.0","3","3.0","0","0.0","0","1","4.3%","1","0","0","0","0","0","0","0","7"
"46","Luke Musgrave (GB)","1","1","6","6.0","-1","-1.0","-1","-1.0","7","7.0","0","0.0","0","1","7.7%","1","0","0","0","0","0","0","0","6"
