"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Marvin Harrison Jr. (ARI)","1","4","130","32.5","101","25.3","150","37.5","29","7.3","11","2.8","0","8","38.1%","5","1","2","4","3","2","1","1","60"
"2","Calvin Ridley (TEN)","1","4","77","19.3","63","15.8","159","39.8","14","3.5","4","1.0","0","6","22.2%","5","1","0","3","1","1","1","0","40"
"3","Nico Collins (HOU)","1","8","135","16.9","92","11.5","116","14.5","43","5.4","19","2.4","1","10","29.4%","8","0","0","6","2","0","0","0","28"
"4","Justin Jefferson (MIN)","1","4","133","33.3","73","18.3","115","28.8","60","15.0","4","1.0","0","7","29.2%","4","0","0","3","1","1","1","1","97"
"5","DK Metcalf (SEA)","1","10","129","12.9","68","6.8","159","15.9","61","6.1","15","1.5","0","14","32.6%","12","2","1","5","1","1","1","1","56"
"6","Malik Nabers (NYG)","1","10","127","12.7","41","4.1","140","14.0","86","8.6","31","3.1","2","18","66.7%","11","1","3","5","3","0","0","0","28"
"7","Chris Godwin (TB)","1","7","117","16.7","56","8.0","76","10.9","61","8.7","10","1.4","0","8","42.1%","7","0","0","6","1","1","1","0","41"
"8","Quentin Johnston (LAC)","1","5","51","10.2","38","7.6","61","12.2","13","2.6","3","0.6","1","6","31.6%","5","0","1","1","1","0","0","0","29"
"9","Davante Adams (LV)","1","9","110","12.2","98","10.9","139","15.4","12","1.3","6","0.7","0","12","33.3%","10","1","2","3","3","1","0","0","30"
"10","Rashid Shaheed (NO)","1","4","96","24.0","61","15.3","61","15.3","35","8.8","4","1.0","0","4","26.7%","4","0","0","2","1","1","1","1","70"
"11","Zay Flowers (BAL)","1","7","91","13.0","69","9.9","83","11.9","22","3.1","14","2.0","1","11","35.5%","7","0","1","4","1","0","0","0","21"
"12","CeeDee Lamb (DAL)","1","4","90","22.5","33","8.3","95","23.8","57","14.3","49","12.3","1","7","17.1%","4","0","1","2","1","1","1","1","65"
"13","Darnell Mooney (ATL)","1","3","88","29.3","54","18.0","113","37.7","34","11.3","22","7.3","2","7","24.1%","3","0","1","3","3","1","1","0","41"
"14","DeVonta Smith (PHI)","1","7","76","10.9","73","10.4","106","15.1","3","0.4","4","0.6","0","10","34.5%","7","0","2","3","0","0","0","0","19"
"15","Rashee Rice (KC)","1","5","75","15.0","28","5.6","48","9.6","47","9.4","1","0.2","0","6","26.1%","5","0","0","3","1","1","1","0","44"
"16","Andrei Iosivas (CIN)","1","2","7","3.5","7","3.5","29","14.5","0","0.0","0","0.0","0","4","11.8%","4","2","2","0","0","0","0","0","4"
"17","Amon-Ra St. Brown (DET)","1","11","119","10.8","90","8.2","198","18.0","29","2.6","8","0.7","0","18","34.0%","11","0","2","4","1","0","0","0","20"
"18","Jaxon Smith-Njigba (SEA)","1","12","117","9.8","76","6.3","173","14.4","41","3.4","10","0.8","1","16","37.2%","13","1","0","4","1","0","0","0","24"
"19","Alec Pierce (IND)","1","5","56","11.2","52","10.4","106","21.2","4","0.8","1","0.2","0","7","22.6%","5","0","1","3","0","0","0","0","18"
"20","Drake London (ATL)","1","6","54","9.0","48","8.0","52","8.7","6","1.0","6","1.0","0","7","24.1%","6","0","2","1","0","0","0","0","19"
"21","Jalen Nailor (MIN)","1","3","54","18.0","47","15.7","51","17.0","7","2.3","2","0.7","0","4","16.7%","3","0","2","3","1","0","0","0","26"
"22","Deebo Samuel Sr. (SF)","1","8","110","13.8","91","11.4","86","10.8","19","2.4","2","0.3","0","10","27.8%","8","0","1","5","2","0","0","0","28"
"23","Jameson Williams (DET)","1","5","79","15.8","56","11.2","129","25.8","23","4.6","12","2.4","1","11","20.8%","5","0","4","2","1","1","1","1","50"
"24","Brian Thomas Jr. (JAC)","1","2","94","47.0","72","36.0","81","40.5","22","11.0","14","7.0","0","4","14.8%","3","1","0","2","2","1","1","1","66"
"25","Josh Reynolds (DEN)","1","4","93","23.3","75","18.8","82","20.5","18","4.5","10","2.5","0","5","15.2%","4","0","0","3","2","1","1","0","49"
"26","Chris Olave (NO)","1","4","81","20.3","53","13.3","79","19.8","28","7.0","2","0.5","0","6","40.0%","4","0","0","4","1","1","0","0","39"
"27","Dontayvion Wicks (GB)","1","3","26","8.7","18","6.0","35","11.7","8","2.7","0","0.0","0","4","30.8%","3","0","1","1","0","0","0","0","14"
"28","Jalen Tolbert (DAL)","1","6","82","13.7","75","12.5","116","19.3","7","1.2","4","0.7","0","9","22.0%","6","0","1","3","1","1","0","0","39"
"29","Wan'Dale Robinson (NYG)","1","2","18","9.0","9","4.5","24","12.0","9","4.5","1","0.5","0","4","14.8%","2","0","1","1","0","0","0","0","11"
"30","Jerry Jeudy (CLE)","1","5","73","14.6","66","13.2","70","14.0","7","1.4","1","0.2","0","6","18.2%","6","1","0","2","2","1","0","0","30"
"31","Ja'Lynn Polk (NE)","1","2","12","6.0","12","6.0","27","13.5","0","0.0","0","0.0","0","3","12.5%","2","0","1","0","0","0","0","0","7"
"32","Romeo Doubs (GB)","1","3","62","20.7","54","18.0","54","18.0","8","2.7","2","0.7","1","3","23.1%","3","0","0","2","1","1","0","0","39"
