"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"1","Dallas Goedert (PHI)","3","6","80","27","35","53","17","0","7","6","0","0","2","2","1","1","0"
"2","Isaiah Likely (BAL)","3","4","47","15","42","32","8","0","5","4","0","1","1","0","0","0","0"
"3","Brock Bowers (LV)","3","6","66","39","39","27","6","0","7","6","0","0","3","1","0","0","0"
"4","Cole Kmet (CHI)","3","5","43","32","47","11","4","0","6","5","0","1","2","0","0","0","0"
"5","Trey McBride (ARI)","3","5","41","26","61","15","8","0","7","5","0","0","1","0","0","0","0"
"6","George Kittle (SF)","2","6","58","31","42","27","7","0","7","6","0","1","3","1","0","0","0"
"7","Kyle Pitts (ATL)","3","3","35","23","35","12","8","0","4","3","0","1","1","0","0","0","0"
"8","Mike Gesicki (CIN)","3","5","52","27","46","25","4","0","6","5","0","1","2","0","0","0","0"
"9","Dalton Kincaid (BUF)","3","3","28","7","12","21","10","1","4","3","0","1","1","0","0","0","0"
"10","Brenton Strange (JAC)","3","2","26","21","40","5","3","0","4","3","1","1","1","1","0","0","0"
"11","Hunter Henry (NE)","3","4","45","22","33","23","6","0","6","5","1","1","2","0","0","0","0"
"12","Zach Ertz (WAS)","3","4","43","35","37","8","1","0","4","4","0","0","2","1","0","0","0"
"13","Jake Ferguson (DAL)","2","5","55","33","59","22","9","0","8","5","0","0","2","1","0","0","0"
"14","Tyler Conklin (NYJ)","3","2","36","21","20","15","7","0","3","2","0","0","2","1","0","0","0"
"15","Chig Okonkwo (TEN)","3","2","15","8","8","8","3","0","2","2","0","0","0","0","0","0","0"
"16","Foster Moreau (NO)","3","2","15","12","11","3","0","0","2","2","0","0","1","0","0","0","0"
"17","Elijah Higgins (ARI)","3","1","14","8","8","6","3","0","1","1","0","0","1","0","0","0","0"
"18","Pat Freiermuth (PIT)","3","4","33","15","20","18","5","0","4","4","0","0","2","0","0","0","0"
"19","Sam LaPorta (DET)","3","3","31","19","19","13","5","0","3","3","0","0","1","0","0","0","0"
"20","Johnny Mundt (MIN)","3","2","10","6","11","4","1","0","3","2","0","1","0","0","0","0","0"
"21","Noah Fant (SEA)","3","3","28","15","23","14","6","1","4","3","0","0","1","0","0","0","0"
"22","Colby Parkinson (LAR)","3","3","27","12","19","15","2","0","4","3","1","1","1","0","0","0","0"
"23","Nick Vannett (TEN)","3","1","7","2","2","5","1","0","1","1","0","0","0","0","0","0","0"
"24","Jonnu Smith (MIA)","3","3","26","13","19","13","4","0","4","3","0","0","1","0","0","0","0"
"25","Tucker Kraft (GB)","3","2","26","4","7","22","9","0","3","3","1","1","1","1","0","0","0"
"26","Travis Kelce (KC)","3","3","23","16","24","7","2","0","4","3","0","1","1","0","0","0","0"
"27","Eric Saubert (SF)","3","1","22","12","17","10","1","0","2","1","0","0","1","0","0","0","0"
"28","Jordan Akins (CLE)","3","3","22","9","19","13","5","0","4","3","0","0","1","0","0","0","0"
