"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"1","Jauan Jennings (SF)","3","6","92","78","86","14","4","0","7","6","0","1","4","2","1","0","0"
"2","Malik Nabers (NYG)","3","8","90","48","105","42","14","1","12","9","1","2","3","2","0","0","0"
"3","Justin Jefferson (MIN)","3","5","91","60","85","31","3","0","7","5","1","1","2","1","1","1","0"
"4","Chris Godwin (TB)","3","7","84","38","56","46","11","0","8","7","0","1","4","1","0","0","0"
"5","Rashee Rice (KC)","3","8","96","34","52","62","21","1","10","8","0","1","4","1","1","0","0"
"6","Jayden Reed (GB)","3","3","66","27","32","39","13","1","5","4","0","0","1","1","1","0","0"
"7","Nico Collins (HOU)","3","6","113","77","113","36","16","1","9","6","0","1","4","2","1","0","0"
"8","DK Metcalf (SEA)","3","6","87","52","103","35","7","0","8","6","1","0","3","1","1","1","1"
"9","Marvin Harrison Jr. (ARI)","3","3","66","56","122","10","4","0","7","4","1","1","3","1","1","0","0"
"10","Alec Pierce (IND)","3","3","75","69","96","6","0","0","4","3","0","0","2","1","1","1","1"
"11","Ja'Marr Chase (CIN)","3","5","72","48","51","24","5","1","6","6","0","1","3","1","1","0","0"
"12","Allen Lazard (NYJ)","3","4","49","26","50","23","13","0","5","4","0","2","2","1","0","0","0"
"13","Quentin Johnston (LAC)","3","3","44","24","46","21","9","1","4","4","0","0","2","1","0","0","0"
"14","Rashid Shaheed (NO)","3","2","56","35","88","22","2","0","5","2","0","0","1","1","1","1","1"
"15","DeVonta Smith (PHI)","3","7","80","54","100","26","9","0","9","7","0","1","3","1","0","0","0"
"16","Stefon Diggs (HOU)","3","7","55","31","55","23","6","0","8","7","0","1","2","0","0","0","0"
"17","Khalil Shakir (BUF)","3","5","56","17","17","39","16","0","5","5","0","0","3","1","0","0","0"
"18","Jameson Williams (DET)","3","4","70","36","108","33","7","1","8","4","0","2","2","1","1","1","1"
"19","Jalen Nailor (MIN)","3","2","35","32","35","4","1","0","3","2","0","1","2","1","0","0","0"
"20","CeeDee Lamb (DAL)","3","4","73","37","92","35","26","1","8","5","1","1","2","1","1","0","0"
"21","Davante Adams (LV)","3","6","70","55","86","15","5","0","9","6","0","1","3","1","0","0","0"
"22","Amon-Ra St. Brown (DET)","3","7","69","52","96","17","7","0","11","8","1","2","3","1","0","0","0"
"23","Tyreek Hill (MIA)","3","4","65","25","86","40","6","0","8","5","0","1","3","1","0","0","0"
"24","Calvin Ridley (TEN)","3","3","45","37","124","9","3","0","5","3","0","0","2","1","0","0","0"
"25","Andrei Iosivas (CIN)","3","3","28","25","46","4","0","0","6","4","1","1","2","0","0","0","0"
"26","Drake London (ATL)","3","5","45","32","52","13","10","0","6","5","0","2","2","0","0","0","0"
"27","Brian Thomas Jr. (JAC)","3","4","63","43","64","20","12","0","6","4","0","0","2","1","0","0","0"
"28","Chris Olave (NO)","3","4","59","47","55","13","1","0","5","4","0","0","3","1","0","0","0"
